City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
San Francisco,UberEATS Marketplace,COMPLETED,2019-03-03 11:09:27 +0000 UTC,2019-03-03 11:09:31 +0000 UTC,37.8675508,-122.2633533,,2019-03-03 11:23:54 +0000 UTC,37.8675508,-122.2633533,,0.28,13.93,USD
San Francisco,Pool: MATCHED,COMPLETED,2019-03-03 07:33:41 +0000 UTC,2019-03-03 07:39:57 +0000 UTC,37.8682,-122.27728,"1647 Allston Way, Berkeley, CA 94703, USA",2019-03-03 07:46:52 +0000 UTC,37.86787,-122.25851,"2516 Durant Ave, Berkeley, CA 94704, US",1.34,3.32,USD
San Francisco,Pool,CANCELED,2019-03-03 07:32:46 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,"2516 Durant Ave, Berkeley, CA 94704, US",0.00,0,USD
San Francisco,Pool: MATCHED,COMPLETED,2019-03-01 00:00:19 +0000 UTC,2019-03-01 00:04:40 +0000 UTC,37.86731,-122.26324,"2301 Durant Ave, Berkeley, CA 94704, US",2019-03-01 00:10:58 +0000 UTC,37.87366,-122.25654,"Stanley Hall, Berkeley, CA 94709, USA",1.18,3.3,USD
San Francisco,UberX,COMPLETED,2019-02-27 18:07:07 +0000 UTC,2019-02-27 18:08:41 +0000 UTC,37.8672961312,-122.263397305,"2301 Durant Ave, Berkeley, CA 94704, US",2019-02-27 18:17:40 +0000 UTC,37.8752320033,-122.258975164,"U C Berkeley, Berkeley, CA 94720, US",1.40,5.39,USD
San Francisco,Pool,CANCELED,2019-02-27 17:54:55 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,37.8613942,-122.2671435,,1970-01-01 00:00:00 +0000 UTC,37.8641852,-122.2587493,"Etcheverry Hall, 2521 Hearst Ave, Berkeley, CA 94709, USA",0.00,0,USD
San Francisco,Pool: MATCHED,COMPLETED,2019-02-22 18:28:40 +0000 UTC,2019-02-22 18:34:13 +0000 UTC,37.8674177,-122.2636104,"2301 Durant Ave, Berkeley, CA 94704, US",2019-02-22 18:47:11 +0000 UTC,37.8737201,-122.2575122,"University Dr, Berkeley, 94720, US",2.22,3.41,USD
San Francisco,UberX,COMPLETED,2019-02-22 09:09:57 +0000 UTC,2019-02-22 09:13:53 +0000 UTC,37.8681711042,-122.277742304,"1641 Allston Way, Berkeley, CA 94703, US",2019-02-22 09:21:42 +0000 UTC,37.8694639521,-122.252110451,"2299 Piedmont Ave, Berkeley, CA 94720, USA",2.00,5.9,USD
San Francisco,Pool: MATCHED,COMPLETED,2019-02-19 22:54:55 +0000 UTC,2019-02-19 23:00:06 +0000 UTC,37.8420698,-122.264803,"5635 Shattuck Ave, Oakland, CA 94609, US",2019-02-19 23:12:41 +0000 UTC,37.8674537,-122.2636201,"2301 Durant Ave, Berkeley, CA 94704, USA",2.31,5.1,USD
San Francisco,Pool,CANCELED,2019-02-19 08:14:34 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,"2301 Durant Ave, Berkeley, CA 94704, USA",0.00,0,USD
San Francisco,Pool,CANCELED,2019-02-19 08:11:58 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,"2301 Durant Ave, Berkeley, CA 94704, USA",0.00,0,USD
San Francisco,Pool: MATCHED,COMPLETED,2019-02-14 18:15:21 +0000 UTC,2019-02-14 18:22:36 +0000 UTC,37.8673046,-122.2633626,"2301 Durant Ave, Berkeley, CA 94704, US",2019-02-14 19:33:06 +0000 UTC,37.6179140352,-122.385593007,"780 McDonnell Rd, San Francisco, 94128, US",26.94,27.98,USD
San Francisco,Pool,COMPLETED,2019-02-13 18:26:43 +0000 UTC,2019-02-13 18:28:53 +0000 UTC,37.8752449282,-122.259005382,"Etcheverry Hall, 2521 Hearst Ave, Berkeley, CA 94709, USA",2019-02-13 18:36:41 +0000 UTC,37.8675742257,-122.26363613,"2301 Durant Ave, Berkeley, CA 94704, USA",1.32,4.94,USD
San Francisco,UberX,COMPLETED,2019-02-13 18:09:07 +0000 UTC,2019-02-13 18:13:44 +0000 UTC,37.86724,-122.26341,"2301 Durant Ave, Berkeley, CA 94704, US",2019-02-13 18:21:32 +0000 UTC,37.87522,-122.25915,"U C Berkeley, Berkeley, CA 94720, US",1.32,7.7,USD
San Francisco,Pool,CANCELED,2019-02-13 17:53:56 +0000 UTC,2019-02-13 18:03:19 +0000 UTC,37.8684235197,-122.261320203,"2301 Durant Ave, Berkeley, CA 94704, US",1970-01-01 00:00:00 +0000 UTC,37.8676503832,-122.260197809,"U C Berkeley, Berkeley, CA 94720, US",0.17,4.19,USD
San Francisco,UberEATS Marketplace,COMPLETED,2019-02-08 04:12:16 +0000 UTC,2019-02-08 04:12:18 +0000 UTC,37.8675508,-122.2633533,,2019-02-08 04:21:43 +0000 UTC,37.8675508,-122.2633533,,0.48,14.79,USD
San Francisco,UberEATS Marketplace,COMPLETED,2019-02-08 03:48:28 +0000 UTC,2019-02-08 03:48:35 +0000 UTC,37.8675508,-122.2633533,,2019-02-08 03:51:48 +0000 UTC,37.8675508,-122.2633533,,0.58,0,USD
San Francisco,Pool: MATCHED,COMPLETED,2019-02-06 17:59:07 +0000 UTC,2019-02-06 18:03:21 +0000 UTC,37.8673614,-122.2635623,"2301 Durant Ave, Berkeley, CA 94704, US",2019-02-06 18:10:05 +0000 UTC,37.8752429,-122.258952,"U C Berkeley, Berkeley, CA 94720, US",1.02,4.19,USD
San Francisco,UberEATS Marketplace,COMPLETED,2019-02-04 06:40:08 +0000 UTC,2019-02-04 06:41:12 +0000 UTC,37.8675508,-122.2633533,,2019-02-04 07:01:39 +0000 UTC,37.8675508,-122.2633533,,0.28,17.71,USD
